id,year,species,bill_length_mm,bill_depth_mm,sex
1,2007,Adelie,39.1,18.7,male
2,2007,Adelie,39.5,17.4,female
3,2007,Adelie,40.3,18,female
4,2007,Adelie,NA,NA,NA
5,2007,Adelie,36.7,19.3,female
6,2007,Adelie,39.3,20.6,male
7,2007,Adelie,38.9,17.8,female
8,2007,Adelie,39.2,19.6,male
9,2007,Adelie,34.1,18.1,NA
10,2007,Adelie,42,20.2,NA
11,2007,Adelie,37.8,17.1,NA
12,2007,Adelie,37.8,17.3,NA
13,2007,Adelie,41.1,17.6,female
14,2007,Adelie,38.6,21.2,male
15,2007,Adelie,34.6,21.1,male
16,2007,Adelie,36.6,17.8,female
17,2007,Adelie,38.7,19,female
18,2007,Adelie,42.5,20.7,male
19,2007,Adelie,34.4,18.4,female
20,2007,Adelie,46,21.5,male
21,2007,Adelie,37.8,18.3,female
22,2007,Adelie,37.7,18.7,male
23,2007,Adelie,35.9,19.2,female
24,2007,Adelie,38.2,18.1,male
25,2007,Adelie,38.8,17.2,male
26,2007,Adelie,35.3,18.9,female
27,2007,Adelie,40.6,18.6,male
28,2007,Adelie,40.5,17.9,female
29,2007,Adelie,37.9,18.6,female
30,2007,Adelie,40.5,18.9,male
31,2007,Adelie,39.5,16.7,female
32,2007,Adelie,37.2,18.1,male
33,2007,Adelie,39.5,17.8,female
34,2007,Adelie,40.9,18.9,male
35,2007,Adelie,36.4,17,female
36,2007,Adelie,39.2,21.1,male
37,2007,Adelie,38.8,20,male
38,2007,Adelie,42.2,18.5,female
39,2007,Adelie,37.6,19.3,female
40,2007,Adelie,39.8,19.1,male
41,2007,Adelie,36.5,18,female
42,2007,Adelie,40.8,18.4,male
43,2007,Adelie,36,18.5,female
44,2007,Adelie,44.1,19.7,male
45,2007,Adelie,37,16.9,female
46,2007,Adelie,39.6,18.8,male
47,2007,Adelie,41.1,19,male
48,2007,Adelie,37.5,18.9,NA
49,2007,Adelie,36,17.9,female
50,2007,Adelie,42.3,21.2,male
51,2008,Adelie,39.6,17.7,female
52,2008,Adelie,40.1,18.9,male
53,2008,Adelie,34.5,18.1,female
54,2008,Adelie,39,17.5,female
55,2008,Adelie,40.6,18.8,male
56,2008,Adelie,35.7,16.9,female
57,2008,Adelie,37.6,17,female
58,2008,Adelie,41.1,18.2,male
59,2008,Adelie,41.6,18,male
60,2008,Adelie,41.1,19.1,male
61,2008,Adelie,35.9,16.6,female
62,2008,Adelie,39.7,18.4,male
63,2008,Adelie,42.8,18.5,male
64,2008,Adelie,42.9,17.6,male
65,2008,Adelie,35.1,19.4,male
66,2008,Adelie,41.3,20.3,male
67,2008,Adelie,36.9,18.6,female
68,2008,Adelie,38.3,19.2,male
69,2008,Adelie,40.3,18.5,male
70,2008,Adelie,43.2,18.5,male
71,2009,Adelie,41,20,male
72,2009,Adelie,43.2,19,male
73,2009,Adelie,42.7,18.3,male
74,2009,Adelie,37.3,20.5,male
75,2009,Adelie,37.7,19.8,male
76,2009,Adelie,40.2,17,female
77,2009,Adelie,41.4,18.5,male
78,2009,Adelie,35.2,15.9,female
79,2009,Adelie,38.8,17.6,female
80,2009,Adelie,39.7,17.9,male
81,2009,Adelie,37.3,16.8,female
82,2009,Adelie,39.2,18.6,male
83,2007,Gentoo,46.1,13.2,female
84,2007,Gentoo,50,16.3,male
85,2007,Gentoo,48.7,14.1,female
86,2007,Gentoo,50,15.2,male
87,2007,Gentoo,47.6,14.5,male
88,2007,Gentoo,46.5,13.5,female
89,2007,Gentoo,45.4,14.6,female
90,2007,Gentoo,46.7,15.3,male
91,2007,Gentoo,43.3,13.4,female
92,2007,Gentoo,46.8,15.4,male
93,2007,Gentoo,40.9,13.7,female
94,2007,Gentoo,49,16.1,male
95,2007,Gentoo,45.5,13.7,female
96,2007,Gentoo,48.4,14.6,male
97,2007,Gentoo,45.8,14.6,female
98,2007,Gentoo,49.3,15.7,male
99,2007,Gentoo,42,13.5,female
100,2007,Gentoo,49.2,15.2,male
101,2007,Gentoo,46.2,14.5,female
102,2007,Gentoo,48.7,15.1,male
103,2007,Gentoo,50.2,14.3,male
104,2007,Gentoo,45.1,14.5,female
105,2007,Gentoo,46.5,14.5,female
106,2007,Gentoo,46.3,15.8,male
107,2007,Gentoo,42.9,13.1,female
108,2007,Gentoo,46.1,15.1,male
109,2007,Gentoo,44.5,14.3,NA
110,2007,Gentoo,47.8,15,male
111,2007,Gentoo,48.2,14.3,female
112,2007,Gentoo,50,15.3,male
113,2007,Gentoo,47.3,15.3,male
114,2007,Gentoo,42.8,14.2,female
115,2007,Gentoo,45.1,14.5,female
116,2007,Gentoo,59.6,17,male
117,2008,Gentoo,49.1,14.8,female
118,2008,Gentoo,48.4,16.3,male
119,2008,Gentoo,42.6,13.7,female
120,2008,Gentoo,44.4,17.3,male
121,2008,Gentoo,44,13.6,female
122,2008,Gentoo,48.7,15.7,male
123,2008,Gentoo,42.7,13.7,female
124,2008,Gentoo,49.6,16,male
125,2008,Gentoo,45.3,13.7,female
126,2008,Gentoo,49.6,15,male
127,2008,Gentoo,50.5,15.9,male
128,2008,Gentoo,43.6,13.9,female
129,2008,Gentoo,45.5,13.9,female
130,2008,Gentoo,50.5,15.9,male
131,2008,Gentoo,44.9,13.3,female
132,2008,Gentoo,45.2,15.8,male
133,2008,Gentoo,46.6,14.2,female
134,2008,Gentoo,48.5,14.1,male
135,2008,Gentoo,45.1,14.4,female
136,2008,Gentoo,50.1,15,male
137,2008,Gentoo,46.5,14.4,female
138,2008,Gentoo,45,15.4,male
139,2008,Gentoo,43.8,13.9,female
140,2008,Gentoo,45.5,15,male
141,2008,Gentoo,43.2,14.5,female
142,2008,Gentoo,50.4,15.3,male
143,2008,Gentoo,45.3,13.8,female
144,2008,Gentoo,46.2,14.9,male
145,2008,Gentoo,45.7,13.9,female
146,2008,Gentoo,54.3,15.7,male
147,2008,Gentoo,45.8,14.2,female
148,2008,Gentoo,49.8,16.8,male
149,2008,Gentoo,46.2,14.4,NA
150,2008,Gentoo,49.5,16.2,male
151,2008,Gentoo,43.5,14.2,female
152,2008,Gentoo,50.7,15,male
153,2008,Gentoo,47.7,15,female
154,2008,Gentoo,46.4,15.6,male
155,2008,Gentoo,48.2,15.6,male
156,2008,Gentoo,46.5,14.8,female
157,2008,Gentoo,46.4,15,female
158,2008,Gentoo,48.6,16,male
159,2008,Gentoo,47.5,14.2,female
160,2008,Gentoo,51.1,16.3,male
161,2008,Gentoo,45.2,13.8,female
162,2008,Gentoo,45.2,16.4,male
163,2009,Gentoo,49.1,14.5,female
164,2009,Gentoo,52.5,15.6,male
165,2009,Gentoo,47.4,14.6,female
166,2009,Gentoo,50,15.9,male
167,2009,Gentoo,44.9,13.8,female
168,2009,Gentoo,50.8,17.3,male
169,2009,Gentoo,43.4,14.4,female
170,2009,Gentoo,51.3,14.2,male
171,2009,Gentoo,47.5,14,female
172,2009,Gentoo,52.1,17,male
173,2009,Gentoo,47.5,15,female
174,2009,Gentoo,52.2,17.1,male
175,2009,Gentoo,45.5,14.5,female
176,2009,Gentoo,49.5,16.1,male
177,2009,Gentoo,44.5,14.7,female
178,2009,Gentoo,50.8,15.7,male
179,2009,Gentoo,49.4,15.8,male
180,2009,Gentoo,46.9,14.6,female
181,2009,Gentoo,48.4,14.4,female
182,2009,Gentoo,51.1,16.5,male
183,2009,Gentoo,48.5,15,female
184,2009,Gentoo,55.9,17,male
185,2009,Gentoo,47.2,15.5,female
186,2009,Gentoo,49.1,15,male
187,2009,Gentoo,47.3,13.8,NA
188,2009,Gentoo,46.8,16.1,male
189,2009,Gentoo,41.7,14.7,female
190,2009,Gentoo,53.4,15.8,male
191,2009,Gentoo,43.3,14,female
192,2009,Gentoo,48.1,15.1,male
193,2009,Gentoo,50.5,15.2,female
194,2009,Gentoo,49.8,15.9,male
195,2009,Gentoo,43.5,15.2,female
196,2009,Gentoo,51.5,16.3,male
197,2009,Gentoo,46.2,14.1,female
198,2009,Gentoo,55.1,16,male
199,2009,Gentoo,44.5,15.7,NA
200,2009,Gentoo,48.8,16.2,male
201,2009,Gentoo,47.2,13.7,female
202,2009,Gentoo,NA,NA,NA
203,2009,Gentoo,46.8,14.3,female
204,2009,Gentoo,50.4,15.7,male
205,2009,Gentoo,45.2,14.8,female
206,2009,Gentoo,49.9,16.1,male
207,2007,Chinstrap,46.5,17.9,female
208,2007,Chinstrap,50,19.5,male
209,2007,Chinstrap,51.3,19.2,male
210,2007,Chinstrap,45.4,18.7,female
211,2007,Chinstrap,52.7,19.8,male
212,2007,Chinstrap,45.2,17.8,female
213,2007,Chinstrap,46.1,18.2,female
214,2007,Chinstrap,51.3,18.2,male
215,2007,Chinstrap,46,18.9,female
216,2007,Chinstrap,51.3,19.9,male
217,2007,Chinstrap,46.6,17.8,female
218,2007,Chinstrap,51.7,20.3,male
219,2007,Chinstrap,47,17.3,female
220,2007,Chinstrap,52,18.1,male
221,2007,Chinstrap,45.9,17.1,female
222,2007,Chinstrap,50.5,19.6,male
223,2007,Chinstrap,50.3,20,male
224,2007,Chinstrap,58,17.8,female
225,2007,Chinstrap,46.4,18.6,female
226,2007,Chinstrap,49.2,18.2,male
227,2007,Chinstrap,42.4,17.3,female
228,2007,Chinstrap,48.5,17.5,male
229,2007,Chinstrap,43.2,16.6,female
230,2007,Chinstrap,50.6,19.4,male
231,2007,Chinstrap,46.7,17.9,female
232,2007,Chinstrap,52,19,male
233,2008,Chinstrap,50.5,18.4,female
234,2008,Chinstrap,49.5,19,male
235,2008,Chinstrap,46.4,17.8,female
236,2008,Chinstrap,52.8,20,male
237,2008,Chinstrap,40.9,16.6,female
238,2008,Chinstrap,54.2,20.8,male
239,2008,Chinstrap,42.5,16.7,female
240,2008,Chinstrap,51,18.8,male
241,2008,Chinstrap,49.7,18.6,male
242,2008,Chinstrap,47.5,16.8,female
243,2008,Chinstrap,47.6,18.3,female
244,2008,Chinstrap,52,20.7,male
245,2008,Chinstrap,46.9,16.6,female
246,2008,Chinstrap,53.5,19.9,male
247,2008,Chinstrap,49,19.5,male
248,2008,Chinstrap,46.2,17.5,female
249,2008,Chinstrap,50.9,19.1,male
250,2008,Chinstrap,45.5,17,female
251,2009,Chinstrap,50.9,17.9,female
252,2009,Chinstrap,50.8,18.5,male
253,2009,Chinstrap,50.1,17.9,female
254,2009,Chinstrap,49,19.6,male
255,2009,Chinstrap,51.5,18.7,male
256,2009,Chinstrap,49.8,17.3,female
257,2009,Chinstrap,48.1,16.4,female
258,2009,Chinstrap,51.4,19,male
259,2009,Chinstrap,45.7,17.3,female
260,2009,Chinstrap,50.7,19.7,male
261,2009,Chinstrap,42.5,17.3,female
262,2009,Chinstrap,52.2,18.8,male
263,2009,Chinstrap,45.2,16.6,female
264,2009,Chinstrap,49.3,19.9,male
265,2009,Chinstrap,50.2,18.8,male
266,2009,Chinstrap,45.6,19.4,female
267,2009,Chinstrap,51.9,19.5,male
268,2009,Chinstrap,46.8,16.5,female
269,2009,Chinstrap,45.7,17,female
270,2009,Chinstrap,55.8,19.8,male
271,2009,Chinstrap,43.5,18.1,female
272,2009,Chinstrap,49.6,18.2,male
273,2009,Chinstrap,50.8,19,male
274,2009,Chinstrap,50.2,18.7,female
