island,count_date,monster_count
Dream,2024-05-04,9
Biscoe,2024-05-07,6
Dream,2024-05-11,9
Biscoe,2024-05-14,8
Dream,2024-05-18,10
Biscoe,2024-05-21,9
Dream,2024-05-25,11
Biscoe,2024-05-28,6
Dream,2024-06-01,7
Biscoe,2024-06-04,2
Dream,2024-06-08,6
Biscoe,2024-06-11,9
Dream,2024-06-15,5
Biscoe,2024-06-18,5
Dream,2024-06-22,10
Biscoe,2024-06-25,2
Dream,2024-06-29,6
Dream,2024-07-06,4
Biscoe,2024-07-09,5
Dream,2024-07-13,11
Biscoe,2024-07-16,11
Dream,2024-07-20,6
Biscoe,2024-07-23,8
Dream,2024-07-27,7
Biscoe,2024-07-30,12
Dream,2024-08-03,11
Biscoe,2024-08-06,9
Dream,2024-08-10,7
Biscoe,2024-08-13,2
Dream,2024-08-17,19
Biscoe,2024-08-20,6
Dream,2024-08-24,0
Biscoe,2024-08-27,14
Dream,2024-08-31,6
Biscoe,2024-09-03,11
Dream,2024-09-07,9
Biscoe,2024-09-10,6
Dream,2024-09-14,8
Biscoe,2024-09-17,6
Dream,2024-09-21,1
Biscoe,2024-09-24,6
Dream,2024-09-28,12
Biscoe,2024-10-01,3
Dream,2024-10-05,10
Biscoe,2024-10-08,7
Dream,2024-10-12,6
Biscoe,2024-10-15,9
Dream,2024-10-19,7
Biscoe,2024-10-22,3
Dream,2024-10-26,3
Biscoe,2024-10-29,12
